company,role,location,employment_type,experience,apply_link,match_score,source,description,_source_file
Citadel,AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://www.citadel.com/careers?q=AI+Engineer,5,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,Citadel.json
Citadel,Generative AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://www.citadel.com/careers?q=Generative+AI+Engineer,9,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,Citadel.json
Citadel,Agentic AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://www.citadel.com/careers?q=Agentic+AI+Engineer,13,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,Citadel.json
Goldman Sachs,AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://higher.gs.com?q=AI+Engineer,5,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,Goldman_Sachs.json
Goldman Sachs,Generative AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://higher.gs.com?q=Generative+AI+Engineer,9,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,Goldman_Sachs.json
Goldman Sachs,Agentic AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://higher.gs.com?q=Agentic+AI+Engineer,13,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,Goldman_Sachs.json
JPMorgan Chase,AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://careers.jpmorgan.com?q=AI+Engineer,5,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,JPMorgan_Chase.json
JPMorgan Chase,Generative AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://careers.jpmorgan.com?q=Generative+AI+Engineer,9,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,JPMorgan_Chase.json
JPMorgan Chase,Agentic AI Engineer search results,Live company search,Not specified,Matched to uploaded resume,https://careers.jpmorgan.com?q=Agentic+AI+Engineer,13,live_resume_search,Live company career search generated from the uploaded resume. Open the link to view current postings for this role.,JPMorgan_Chase.json
